source_file,page,source_table_id,row_in_table,state_context,adduction_material,pipe_diameter_mm,pipe_thickness_mm,transmission_line_km,distribution_line_km,transmission_voltage,distribution_voltage,transformer_stations,watercourse_used,reservoir_capacity_m3
all_tables.pdf,58,tbl-149.md,5,Rio de Janeiro,-,-,-,60,-,8500,220,1,Rio Pardo,-
all_tables.pdf,58,tbl-149.md,6,Rio de Janeiro,Aço,900,32,28,53,8000,220,1,Rio Itatinga,-
all_tables.pdf,58,tbl-149.md,7,Rio de Janeiro,,800,26,,,,110,,,
all_tables.pdf,58,tbl-149.md,8,Rio de Janeiro,,700,23,,,,110,,,
all_tables.pdf,58,tbl-149.md,9,Rio de Janeiro,,600,16,,,,110,,,
all_tables.pdf,58,tbl-149.md,10,Rio de Janeiro,Aço,1100,5,72,368,10000,220,3,Rios Quilombo e Negrão,5356000
all_tables.pdf,58,tbl-149.md,11,Rio de Janeiro,Aço,600,4,5,,2000,110,,Rio Monjolinho,-
all_tables.pdf,58,tbl-149.md,12,Rio de Janeiro,-,-,-,1,72,8000,220,4,Rio Taquary-mirim,-
all_tables.pdf,58,tbl-149.md,13,Rio de Janeiro,Ferro,350,4,4,4,6600,120,1,Rio Cachoeira,-
all_tables.pdf,58,tbl-149.md,14,Rio de Janeiro,Ferro,600,6,20,-,6000,220,-,Rio Turvo,-
all_tables.pdf,58,tbl-149.md,15,Rio de Janeiro,Ferro,1000,5,14,10,2200,220,-,Rio do Peixe,20000
all_tables.pdf,58,tbl-149.md,16,Rio de Janeiro,Ferro,2000,8,93,57,22000,2000,3,Rio Sorocaba,-
all_tables.pdf,58,tbl-149.md,17,Rio de Janeiro,-,-,-,18,-,6000,220,1,Rio Sorocaba,-
all_tables.pdf,58,tbl-149.md,18,Rio de Janeiro,Cimento,-,-,2,4,120,120,-,Cachoeira Nossa Senhora da Aluda,-
