source_file,page,source_table_id,row_in_table,state,company,municipality,plant,installation_year
all_tables.pdf,17,tbl-54.md,15,Pernambuco,Herdeiros de José Constancio Monnerat,Cantagallo,Santo Antonio,1917
all_tables.pdf,17,tbl-54.md,16,Pernambuco,Empresa Força e Luz Ibero-Americana,»,Chave do Vaz,1914
all_tables.pdf,17,tbl-54.md,17,Pernambuco,Municipalidade de Carmo,Carmo,Emboque,1914
all_tables.pdf,17,tbl-54.md,18,Pernambuco,Regino Monnerat.,Duas Barras,São José,1912
all_tables.pdf,17,tbl-54.md,19,Pernambuco,Governo do Estado do Rio de Janeiro,Macahé,—,1918
all_tables.pdf,17,tbl-54.md,20,Pernambuco,Dr Luiz Duque Estrada Guerra,Mangaratiba,—,1919
all_tables.pdf,17,tbl-54.md,21,Pernambuco,Julius Arp & Companhia,Nova Friburgo,—,1911
all_tables.pdf,17,tbl-54.md,22,Pernambuco,Companhia Brasileira de Energia Eléctrica,Parahyba do Sul,Alberto Torres,1908
all_tables.pdf,19,tbl-59.md,2,Rio de Janeiro,ESTADO DO (CONCLU),,,
all_tables.pdf,19,tbl-59.md,3,Rio de Janeiro,"The Rio de Janeiro Tramway, Light and Power Company, Limited",Parahyba do Sul,Parahybema,1920
all_tables.pdf,19,tbl-59.md,4,Rio de Janeiro,,Pirahy,Ribeirão das Lages,1906
all_tables.pdf,19,tbl-59.md,5,Rio de Janeiro,Empresa Industrial Santa Thereza,Paraty,—,1920
all_tables.pdf,19,tbl-59.md,6,Rio de Janeiro,Companhia Força e Luz Norte Fluminense,Santo Antonio de Padua,—,1913
all_tables.pdf,19,tbl-59.md,7,Rio de Janeiro,J Moraes,São Francisco de Paula,—,1920
all_tables.pdf,19,tbl-59.md,8,Rio de Janeiro,Municipalidade de Sumidouro,Sumidouro,Sumidouro,1906
all_tables.pdf,19,tbl-59.md,9,Rio de Janeiro,ESTADO DO RIO,,,
all_tables.pdf,19,tbl-59.md,10,Rio de Janeiro,Empresa Força e Luz de Canguaretama,Canguaretama,—,(1)1917
all_tables.pdf,19,tbl-59.md,11,Rio de Janeiro,Repartição dos Serviços Urbanos de Natal,Natal,Oitiseiro,1910
all_tables.pdf,19,tbl-59.md,12,Rio de Janeiro,Odilon Amancio & Companhia,Nova Cruz,—,1919
all_tables.pdf,19,tbl-59.md,13,Rio de Janeiro,Joaquim da Luz,Pedro Velho,—,1919
all_tables.pdf,19,tbl-59.md,14,Rio de Janeiro,ESTADO DO RIO,,,
all_tables.pdf,19,tbl-59.md,15,Rio de Janeiro,Dornellas & Companhia,Alegrete,—,1908
all_tables.pdf,19,tbl-59.md,16,Rio de Janeiro,Municipalidade de Alfredo Chaves,Alfredo Chaves,—,1912
all_tables.pdf,19,tbl-59.md,17,Rio de Janeiro,Municipalidade de Artoio Grande,Artoio Grande,Municipal,1920
all_tables.pdf,19,tbl-59.md,18,Rio de Janeiro,Companhia Geral de Luz e Força,Bagé,—,1899
all_tables.pdf,19,tbl-59.md,19,Rio de Janeiro,Armando & Companhia,Caçapava,Caçapava,1913
all_tables.pdf,19,tbl-59.md,20,Rio de Janeiro,Companhia Força e Luz Cachoeirense,Cachoeira,—,1910
all_tables.pdf,19,tbl-59.md,21,Rio de Janeiro,Salathiel Soares de Barros & Companhia,Cruz Alta,—,1911
all_tables.pdf,19,tbl-59.md,22,Rio de Janeiro,Municipalidade de Encruzilhada,Encruzilhada,—,1913
all_tables.pdf,19,tbl-59.md,23,Rio de Janeiro,Ruschel & Irmãos,Estrella,—,1914
all_tables.pdf,19,tbl-59.md,24,Rio de Janeiro,Guilherme Mollmann,Garibaldi,—,1920
all_tables.pdf,19,tbl-59.md,25,Rio de Janeiro,Hickenbick & Bos,Ijuhy,—,1917
all_tables.pdf,19,tbl-59.md,26,Rio de Janeiro,Companhia Itaquiense de Melhoramentos e Electricidade,Itaquy,—,1918
all_tables.pdf,19,tbl-59.md,27,Rio de Janeiro,Sociedade Anonyma Luz Electrica Jaguarense,Jaguarião,—,1900
all_tables.pdf,19,tbl-59.md,28,Rio de Janeiro,Empresa Força e Luz de Lageado,Lageado,—,1918
all_tables.pdf,21,tbl-64.md,2,Rio de Janeiro,ESTADO DO RIO (CONCLU),,,
all_tables.pdf,21,tbl-64.md,3,Rio de Janeiro,Fr Weidlich & Companhia,Passo Fundo,—,1920
all_tables.pdf,21,tbl-64.md,4,Rio de Janeiro,Municipalidade de Passo Fundo,Passo Fundo,Municipal,1913
all_tables.pdf,21,tbl-64.md,5,Rio de Janeiro,The Rio Grandense Light & Power Syndicate Limited,Pelotas,—,1912
